uuid,teos_volume,ammonia_volume,water_volume,ethanol_volume,dilution_volume_fraction,silica_mass_conc,silica_mass_fraction,ethanol_dilute_vol,sample_dilute_vol,target_volume,teos_vol_frac,ammonia_vol_frac,water_vol_frac,ethanol_vol_frac,rmse_log_distance
4fd21940-a331-4524-b730-cf76de1b4d8d,50.0,124.0,165.0,1361.0,0.3626822789443211,7.951422408600025,0.0096739219879481,,,1700.0,0.0294117647058823,0.0729411764705882,0.0970588235294117,0.8005882352941176,
8933d4b1-8929-4b58-a491-a0c55df30fed,83.0,58.0,175.0,1384.0,0.2181929202329421,13.216927464563108,0.0160854894089258,,,1700.0,0.0488235294117647,0.0341176470588235,0.1029411764705882,0.8141176470588235,
130093e4-2947-4d37-b73a-ed4c23442ab8,20.0,64.0,49.0,1567.0,0.9037943316576286,3.1908144353050045,0.0039823679231771,,,1700.0,0.0117647058823529,0.0376470588235294,0.0288235294117647,0.9217647058823528,0.7014812221002216
a3f7d49b-cc77-4468-aae0-ad451027ddc0,181.0,9.0,228.0,1283.0,0.1007433271746606,28.62561800247308,0.0343568351862768,,,1701.0,0.1064079952968841,0.0052910052910052,0.1340388007054673,0.7542621987066431,50.0
f69628da-ff56-4f3a-ba2e-816036b87557,100.0,52.0,15.0,1534.0,0.1829714098338731,15.76115089575115,0.0196304299841148,,,1701.0,0.0587889476778365,0.030570252792475,0.0088183421516754,0.9018224573780128,0.5236733971700329
eb5c038c-56ff-4457-93db-9b9702e3ff43,211.0,12.0,61.0,1415.0,0.0863781590983713,33.38621742002805,0.0409399336464846,,,1699.0,0.124190700412007,0.0070629782224838,0.0359034726309593,0.8328428487345497,50.0
56898b1b-5aed-4595-ade6-5b73d45a7808,101.0,100.0,33.0,1467.0,0.1807631403602393,15.953694952703588,0.0197358794954142,,,1701.0,0.0593768371546149,0.0587889476778365,0.019400352733686,0.8624338624338624,50.0
ba91b97c-6a58-431f-99ae-091ae1a16bc8,23.0,33.0,19.0,1625.0,0.7794690471515859,3.699749221009375,0.0046496041247907,,,1700.0,0.0135294117647058,0.0194117647058823,0.0111764705882352,0.9558823529411764,50.0
e34d9838-8677-405f-b825-5068facac35e,39.0,137.0,186.0,1338.0,0.4722367515525867,6.106767401136641,0.0074069572647527,,,1700.0,0.0229411764705882,0.0805882352941176,0.1094117647058823,0.7870588235294118,50.0
4ccc9a11-4c0b-48a4-848e-edcdd5c8da69,69.0,19.0,33.0,1579.0,0.2632899430410233,10.953095916582988,0.013683645647598,,,1700.0,0.0405882352941176,0.0111764705882352,0.0194117647058823,0.9288235294117648,50.0
4b56c2d8-0a77-4566-b8fe-51e66454dd75,19.0,48.0,160.0,1472.0,0.942469956960566,3.0598747246016065,0.0037599236093864,,,1699.0,0.011183048852266,0.0282519128899352,0.0941730429664508,0.8663919952913478,0.5237568737184664
a6ee3a08-02cd-4703-9d6c-3721dad590c8,91.0,14.0,121.0,1475.0,0.2005504940693647,14.379620520917596,0.0176927203913818,,,1701.0,0.0534979423868312,0.0082304526748971,0.0711346266901822,0.8671369782480893,0.7696040189447438
8573b7f6-c239-4d33-aa19-58f59c7d0499,80.0,37.0,40.0,1543.0,0.2271872670263818,12.693669138002868,0.0157991563134008,,,1700.0,0.0470588235294117,0.0217647058823529,0.0235294117647058,0.9076470588235294,0.3038783346610569
3a3f06cf-6324-44c0-9fbe-cbe35289073b,63.0,105.0,116.0,1415.0,0.2876248474590063,10.026393844193237,0.0122900798506506,,,1699.0,0.03708063566804,0.0618010594467333,0.0682754561506768,0.8328428487345497,50.0
38d80e08-5bd4-4e0e-9d11-a60d55148590,79.0,64.0,236.0,1321.0,0.2300522553299705,12.535586733821086,0.0151176270815778,,,1700.0,0.0464705882352941,0.0376470588235294,0.1388235294117647,0.7770588235294118,1.3647001917273571
1cd98242-2c09-46dc-8eab-ff593ec4a284,214.0,38.0,109.0,1339.0,0.0851293040860193,33.87599641465421,0.0411459433433597,,,1700.0,0.1258823529411764,0.0223529411764705,0.0641176470588235,0.7876470588235294,
f4b66637-2c73-4d0b-83ba-3f7e3b3f3c06,33.0,147.0,138.0,1383.0,0.5576483705090023,5.1714308738457,0.006317865110694,,,1701.0,0.019400352733686,0.0864197530864197,0.0811287477954144,0.8130511463844797,1.3587937862152795
c9f1b338-8d5c-491e-ac9c-cab3df47c1e5,32.0,130.0,89.0,1448.0,0.5710701224679826,5.049887722258984,0.0062230457646941,,,1699.0,0.0188346085932901,0.0765155974102413,0.0523837551500882,0.8522660388463802,1.29897995555667
96f2819c-ff4b-467a-a599-1d2a0c792f5f,94.0,54.0,130.0,1422.0,0.1938444130294029,14.877085983192972,0.0182152601444665,,,1700.0,0.0552941176470588,0.0317647058823529,0.0764705882352941,0.8364705882352941,50.0
6411e428-3416-4aad-a246-f50fe8f3fb4b,35.0,116.0,137.0,1413.0,0.5232580757747922,5.511314843502178,0.0067492541315591,,,1701.0,0.0205761316872428,0.0681951793062904,0.0805408583186361,0.8306878306878307,1.3469304985901487
7c4bcab3-4ce3-4a28-92b1-4f8a04c76603,223.0,10.0,137.0,1331.0,0.08185878006828,35.229452449627665,0.0426706816891131,,,1701.0,0.1310993533215755,0.0058788947677836,0.0805408583186361,0.7824808935920047,50.0
22fc6d75-43ef-41aa-993b-b76a84f4c5af,150.0,32.0,156.0,1362.0,0.1213937725811352,23.7560785753861,0.0288562438682379,,,1700.0,0.088235294117647,0.0188235294117647,0.0917647058823529,0.8011764705882353,0.7940098808602573
86a7ac96-49f1-4da4-b518-37e4ab31a099,184.0,77.0,19.0,1421.0,0.0991248702023477,29.093001525380032,0.0358209767515902,,,1701.0,0.1081716637272192,0.0452674897119341,0.0111699000587889,0.8353909465020576,50.0
89639692-ddbf-413e-a0c4-bf75456e2877,152.0,53.0,102.0,1393.0,0.1197749343896882,24.07715783518959,0.0294272264449363,,,1700.0,0.0894117647058823,0.0311764705882352,0.06,0.8194117647058824,1.1240464117550246
b702c675-432e-4034-b542-ef01ad2fd4ff,63.0,83.0,120.0,1435.0,0.2884340348918623,9.998265291685112,0.0122718793761034,,,1701.0,0.037037037037037,0.0487948265726043,0.0705467372134038,0.8436213991769548,50.0
3b660550-7e2e-4815-ba89-ac39039b2f38,117.0,112.0,130.0,1342.0,0.1561101578654828,18.473109241776253,0.0224618172592045,,,1701.0,0.0687830687830687,0.0658436213991769,0.0764256319811875,0.7889476778365667,50.0
fe183495-7f7b-4949-bc1b-6c7d1ea634b7,84.0,77.0,135.0,1404.0,0.2166760909652046,13.309451851164818,0.0162701341807865,,,1700.0,0.0494117647058823,0.0452941176470588,0.0794117647058823,0.8258823529411765,50.0
f180c1df-360c-45fe-9547-101530b6135a,109.0,10.0,94.0,1487.0,0.1665502719824544,17.315132336162158,0.0213563389755535,,,1700.0,0.0641176470588235,0.0058823529411764,0.0552941176470588,0.8747058823529412,1.1236250650983082
ad3d2a7d-b678-43a0-b803-1cc079e32935,221.0,67.0,155.0,1257.0,0.0822937962289885,35.04322478908985,0.0421496147002248,,,1700.0,0.13,0.0394117647058823,0.0911764705882352,0.7394117647058823,50.0
70246cb4-9be2-45b9-8704-bb3f4ea585c5,89.0,158.0,203.0,1250.0,0.2037437054202128,14.154253227368184,0.0170092037316962,,,1700.0,0.0523529411764705,0.0929411764705882,0.1194117647058823,0.7352941176470589,50.0
01cddefc-e6a6-41aa-9052-06286b12b8fe,40.0,30.0,79.0,1550.0,0.4517100270861366,6.3842727127464896,0.0079369096612574,,,1699.0,0.0235432607416127,0.0176574455562095,0.0464979399646851,0.9123013537374928,0.5213722186071564
83d8158b-ea97-4925-af7c-8fa89acc9319,57.0,82.0,186.0,1375.0,0.3217330719178427,8.963455273060685,0.0109000537967819,,,1700.0,0.0335294117647058,0.048235294117647,0.1094117647058823,0.8088235294117647,1.3256434144779146
b8953350-d5ad-4c99-b929-ebfe8febd0df,138.0,174.0,241.0,1148.0,0.1321925332991253,21.81545302165021,0.025910531416006,,,1701.0,0.0811287477954144,0.1022927689594356,0.1416813639035861,0.6748971193415638,50.0
